Currency;Opened UTC;Closed UTC;Bid Open;Bid High;Bid Low;Bid Close;Ask Open;Ask High;Ask Low;Ask Close;Ticks;Volume
EUR/USD;31.03.2016 18:00:00.000;31.03.2016 18:00:00.250;1,09994;1,10002;1,09994;1,10002;1,10000;1,10008;1,10000;1,10008;1;0;0.00006
EUR/USD;31.03.2016 16:00:00.000;31.03.2016 16:00:00.250;1,10002;1,10011;1,10002;1,10011;1,10008;1,10017;1,10008;1,10017;1;0;0.00006
EUR/USD;31.03.2016 14:00:00.000;31.03.2016 14:00:00.250;1,10011;1,10019;1,10011;1,10019;1,10017;1,10025;1,10017;1,10025;1;0;0.00006
EUR/USD;31.03.2016 12:00:00.000;31.03.2016 12:00:00.250;1,10019;1,10027;1,10019;1,10027;1,10025;1,10033;1,10025;1,10033;1;0;0.00006
EUR/USD;31.03.2016 10:00:00.000;31.03.2016 10:00:00.250;1,10027;1,10036;1,10027;1,10036;1,10033;1,10042;1,10033;1,10042;1;0;0.00006
EUR/USD;31.03.2016 08:00:00.000;31.03.2016 08:00:00.250;1,10036;1,10044;1,10036;1,10044;1,10042;1,10050;1,10042;1,10050;1;0;0.00006
EUR/USD;31.03.2016 06:00:00.000;31.03.2016 06:00:00.250;1,10044;1,10052;1,10044;1,10052;1,10050;1,10058;1,10050;1,10058;1;0;0.00006
EUR/USD;31.03.2016 04:00:00.000;31.03.2016 04:00:00.250;1,10052;1,10061;1,10052;1,10061;1,10058;1,10067;1,10058;1,10067;1;0;0.00006
EUR/USD;31.03.2016 02:00:00.000;31.03.2016 02:00:00.250;1,10061;1,10069;1,10061;1,10069;1,10067;1,10075;1,10067;1,10075;1;0;0.00006
EUR/USD;31.03.2016 00:00:00.000;31.03.2016 00:00:00.250;1,10069;1,10077;1,10069;1,10077;1,10075;1,10083;1,10075;1,10083;1;0;0.00006
EUR/USD;30.03.2016 22:00:00.000;30.03.2016 22:00:00.250;1,10077;1,10086;1,10077;1,10086;1,10083;1,10092;1,10083;1,10092;1;0;0.00006
EUR/USD;30.03.2016 20:00:00.000;30.03.2016 20:00:00.250;1,10086;1,10094;1,10086;1,10094;1,10092;1,10100;1,10092;1,10100;1;0;0.00006
EUR/USD;30.03.2016 18:00:00.000;30.03.2016 18:00:00.250;1,10094;1,10102;1,10094;1,10102;1,10100;1,10108;1,10100;1,10108;1;0;0.00006
EUR/USD;30.03.2016 16:00:00.000;30.03.2016 16:00:00.250;1,10102;1,10111;1,10102;1,10111;1,10108;1,10117;1,10108;1,10117;1;0;0.00006
EUR/USD;30.03.2016 14:00:00.000;30.03.2016 14:00:00.250;1,10111;1,10119;1,10111;1,10119;1,10117;1,10125;1,10117;1,10125;1;0;0.00006
EUR/USD;30.03.2016 12:00:00.000;30.03.2016 12:00:00.250;1,10119;1,10127;1,10119;1,10127;1,10125;1,10133;1,10125;1,10133;1;0;0.00006
EUR/USD;30.03.2016 10:00:00.000;30.03.2016 10:00:00.250;1,10127;1,10136;1,10127;1,10136;1,10133;1,10142;1,10133;1,10142;1;0;0.00006
EUR/USD;30.03.2016 08:00:00.000;30.03.2016 08:00:00.250;1,10136;1,10144;1,10136;1,10144;1,10142;1,10150;1,10142;1,10150;1;0;0.00006
EUR/USD;30.03.2016 06:00:00.000;30.03.2016 06:00:00.250;1,10144;1,10152;1,10144;1,10152;1,10150;1,10158;1,10150;1,10158;1;0;0.00006
EUR/USD;30.03.2016 04:00:00.000;30.03.2016 04:00:00.250;1,10152;1,10161;1,10152;1,10161;1,10158;1,10167;1,10158;1,10167;1;0;0.00006
EUR/USD;30.03.2016 02:00:00.000;30.03.2016 02:00:00.250;1,10161;1,10169;1,10161;1,10169;1,10167;1,10175;1,10167;1,10175;1;0;0.00006
EUR/USD;30.03.2016 00:00:00.000;30.03.2016 00:00:00.250;1,10169;1,10177;1,10169;1,10177;1,10175;1,10183;1,10175;1,10183;1;0;0.00006
EUR/USD;29.03.2016 22:00:00.000;29.03.2016 22:00:00.250;1,10177;1,10186;1,10177;1,10186;1,10183;1,10192;1,10183;1,10192;1;0;0.00006
EUR/USD;29.03.2016 20:00:00.000;29.03.2016 20:00:00.250;1,10186;1,10194;1,10186;1,10194;1,10192;1,10200;1,10192;1,10200;1;0;0.00006
EUR/USD;29.03.2016 18:00:00.000;29.03.2016 18:00:00.250;1,10194;1,10202;1,10194;1,10202;1,10200;1,10208;1,10200;1,10208;1;0;0.00006
EUR/USD;29.03.2016 16:00:00.000;29.03.2016 16:00:00.250;1,10202;1,10211;1,10202;1,10211;1,10208;1,10217;1,10208;1,10217;1;0;0.00006
EUR/USD;29.03.2016 14:00:00.000;29.03.2016 14:00:00.250;1,10211;1,10219;1,10211;1,10219;1,10217;1,10225;1,10217;1,10225;1;0;0.00006
EUR/USD;29.03.2016 12:00:00.000;29.03.2016 12:00:00.250;1,10219;1,10227;1,10219;1,10227;1,10225;1,10233;1,10225;1,10233;1;0;0.00006
EUR/USD;29.03.2016 10:00:00.000;29.03.2016 10:00:00.250;1,10227;1,10236;1,10227;1,10236;1,10233;1,10242;1,10233;1,10242;1;0;0.00006
EUR/USD;29.03.2016 08:00:00.000;29.03.2016 08:00:00.250;1,10236;1,10244;1,10236;1,10244;1,10242;1,10250;1,10242;1,10250;1;0;0.00006
EUR/USD;29.03.2016 06:00:00.000;29.03.2016 06:00:00.250;1,10244;1,10252;1,10244;1,10252;1,10250;1,10258;1,10250;1,10258;1;0;0.00006
EUR/USD;29.03.2016 04:00:00.000;29.03.2016 04:00:00.250;1,10252;1,10261;1,10252;1,10261;1,10258;1,10267;1,10258;1,10267;1;0;0.00006
EUR/USD;29.03.2016 02:00:00.000;29.03.2016 02:00:00.250;1,10261;1,10269;1,10261;1,10269;1,10267;1,10275;1,10267;1,10275;1;0;0.00006
EUR/USD;29.03.2016 00:00:00.000;29.03.2016 00:00:00.250;1,10269;1,10277;1,10269;1,10277;1,10275;1,10283;1,10275;1,10283;1;0;0.00006
EUR/USD;28.03.2016 22:00:00.000;28.03.2016 22:00:00.250;1,10277;1,10286;1,10277;1,10286;1,10283;1,10292;1,10283;1,10292;1;0;0.00006
EUR/USD;28.03.2016 20:00:00.000;28.03.2016 20:00:00.250;1,10286;1,10294;1,10286;1,10294;1,10292;1,10300;1,10292;1,10300;1;0;0.00006
EUR/USD;28.03.2016 18:00:00.000;28.03.2016 18:00:00.250;1,10294;1,10302;1,10294;1,10302;1,10300;1,10308;1,10300;1,10308;1;0;0.00006
EUR/USD;28.03.2016 16:00:00.000;28.03.2016 16:00:00.250;1,10302;1,10311;1,10302;1,10311;1,10308;1,10317;1,10308;1,10317;1;0;0.00006
EUR/USD;28.03.2016 14:00:00.000;28.03.2016 14:00:00.250;1,10311;1,10319;1,10311;1,10319;1,10317;1,10325;1,10317;1,10325;1;0;0.00006
EUR/USD;28.03.2016 12:00:00.000;28.03.2016 12:00:00.250;1,10319;1,10327;1,10319;1,10327;1,10325;1,10333;1,10325;1,10333;1;0;0.00006
EUR/USD;28.03.2016 10:00:00.000;28.03.2016 10:00:00.250;1,10327;1,10336;1,10327;1,10336;1,10333;1,10342;1,10333;1,10342;1;0;0.00006
EUR/USD;28.03.2016 08:00:00.000;28.03.2016 08:00:00.250;1,10336;1,10344;1,10336;1,10344;1,10342;1,10350;1,10342;1,10350;1;0;0.00006
EUR/USD;28.03.2016 06:00:00.000;28.03.2016 06:00:00.250;1,10344;1,10352;1,10344;1,10352;1,10350;1,10358;1,10350;1,10358;1;0;0.00006
EUR/USD;28.03.2016 04:00:00.000;28.03.2016 04:00:00.250;1,10352;1,10361;1,10352;1,10361;1,10358;1,10367;1,10358;1,10367;1;0;0.00006
EUR/USD;28.03.2016 02:00:00.000;28.03.2016 02:00:00.250;1,10361;1,10369;1,10361;1,10369;1,10367;1,10375;1,10367;1,10375;1;0;0.00006
EUR/USD;28.03.2016 00:00:00.000;28.03.2016 00:00:00.250;1,10369;1,10377;1,10369;1,10377;1,10375;1,10383;1,10375;1,10383;1;0;0.00006
EUR/USD;27.03.2016 22:00:00.000;27.03.2016 22:00:00.250;1,10377;1,10386;1,10377;1,10386;1,10383;1,10392;1,10383;1,10392;1;0;0.00006
EUR/USD;27.03.2016 20:00:00.000;27.03.2016 20:00:00.250;1,10386;1,10394;1,10386;1,10394;1,10392;1,10400;1,10392;1,10400;1;0;0.00006
EUR/USD;27.03.2016 18:00:00.000;27.03.2016 18:00:00.250;1,10394;1,10402;1,10394;1,10402;1,10400;1,10408;1,10400;1,10408;1;0;0.00006
EUR/USD;27.03.2016 16:00:00.000;27.03.2016 16:00:00.250;1,10402;1,10411;1,10402;1,10411;1,10408;1,10417;1,10408;1,10417;1;0;0.00006
EUR/USD;27.03.2016 14:00:00.000;27.03.2016 14:00:00.250;1,10411;1,10419;1,10411;1,10419;1,10417;1,10425;1,10417;1,10425;1;0;0.00006
EUR/USD;27.03.2016 12:00:00.000;27.03.2016 12:00:00.250;1,10419;1,10427;1,10419;1,10427;1,10425;1,10433;1,10425;1,10433;1;0;0.00006
EUR/USD;27.03.2016 10:00:00.000;27.03.2016 10:00:00.250;1,10427;1,10436;1,10427;1,10436;1,10433;1,10442;1,10433;1,10442;1;0;0.00006
EUR/USD;27.03.2016 08:00:00.000;27.03.2016 08:00:00.250;1,10436;1,10444;1,10436;1,10444;1,10442;1,10450;1,10442;1,10450;1;0;0.00006
EUR/USD;27.03.2016 06:00:00.000;27.03.2016 06:00:00.250;1,10444;1,10452;1,10444;1,10452;1,10450;1,10458;1,10450;1,10458;1;0;0.00006
EUR/USD;27.03.2016 04:00:00.000;27.03.2016 04:00:00.250;1,10452;1,10461;1,10452;1,10461;1,10458;1,10467;1,10458;1,10467;1;0;0.00006
EUR/USD;27.03.2016 02:00:00.000;27.03.2016 02:00:00.250;1,10461;1,10469;1,10461;1,10469;1,10467;1,10475;1,10467;1,10475;1;0;0.00006
EUR/USD;27.03.2016 01:00:00.000;27.03.2016 01:00:00.250;1,10469;1,10477;1,10469;1,10477;1,10475;1,10483;1,10475;1,10483;1;0;0.00006
EUR/USD;27.03.2016 00:00:00.000;27.03.2016 00:00:00.250;1,10477;1,10486;1,10477;1,10486;1,10483;1,10492;1,10483;1,10492;1;0;0.00006
EUR/USD;26.03.2016 23:00:00.000;26.03.2016 23:00:00.250;1,10486;1,10494;1,10486;1,10494;1,10492;1,10500;1,10492;1,10500;1;0;0.00006
EUR/USD;26.03.2016 22:00:00.000;26.03.2016 22:00:00.250;1,10494;1,10502;1,10494;1,10502;1,10500;1,10508;1,10500;1,10508;1;0;0.00006
EUR/USD;26.03.2016 21:00:00.000;26.03.2016 21:00:00.250;1,10502;1,10511;1,10502;1,10511;1,10508;1,10517;1,10508;1,10517;1;0;0.00006
EUR/USD;26.03.2016 20:00:00.000;26.03.2016 20:00:00.250;1,10511;1,10519;1,10511;1,10519;1,10517;1,10525;1,10517;1,10525;1;0;0.00006
EUR/USD;26.03.2016 19:00:00.000;26.03.2016 19:00:00.250;1,10519;1,10527;1,10519;1,10527;1,10525;1,10533;1,10525;1,10533;1;0;0.00006
EUR/USD;26.03.2016 18:00:00.000;26.03.2016 18:00:00.250;1,10527;1,10536;1,10527;1,10536;1,10533;1,10542;1,10533;1,10542;1;0;0.00006
EUR/USD;26.03.2016 17:00:00.000;26.03.2016 17:00:00.250;1,10536;1,10544;1,10536;1,10544;1,10542;1,10550;1,10542;1,10550;1;0;0.00006
EUR/USD;26.03.2016 16:00:00.000;26.03.2016 16:00:00.250;1,10544;1,10552;1,10544;1,10552;1,10550;1,10558;1,10550;1,10558;1;0;0.00006
EUR/USD;26.03.2016 15:00:00.000;26.03.2016 15:00:00.250;1,10552;1,10561;1,10552;1,10561;1,10558;1,10567;1,10558;1,10567;1;0;0.00006
EUR/USD;26.03.2016 14:00:00.000;26.03.2016 14:00:00.250;1,10561;1,10569;1,10561;1,10569;1,10567;1,10575;1,10567;1,10575;1;0;0.00006
EUR/USD;26.03.2016 13:00:00.000;26.03.2016 13:00:00.250;1,10569;1,10577;1,10569;1,10577;1,10575;1,10583;1,10575;1,10583;1;0;0.00006
EUR/USD;26.03.2016 12:00:00.000;26.03.2016 12:00:00.250;1,10577;1,10586;1,10577;1,10586;1,10583;1,10592;1,10583;1,10592;1;0;0.00006
EUR/USD;26.03.2016 11:00:00.000;26.03.2016 11:00:00.250;1,10586;1,10594;1,10586;1,10594;1,10592;1,10600;1,10592;1,10600;1;0;0.00006
EUR/USD;26.03.2016 10:00:00.000;26.03.2016 10:00:00.250;1,10594;1,10602;1,10594;1,10602;1,10600;1,10608;1,10600;1,10608;1;0;0.00006
EUR/USD;26.03.2016 09:00:00.000;26.03.2016 09:00:00.250;1,10602;1,10611;1,10602;1,10611;1,10608;1,10617;1,10608;1,10617;1;0;0.00006
EUR/USD;26.03.2016 08:00:00.000;26.03.2016 08:00:00.250;1,10611;1,10619;1,10611;1,10619;1,10617;1,10625;1,10617;1,10625;1;0;0.00006
EUR/USD;26.03.2016 07:00:00.000;26.03.2016 07:00:00.250;1,10619;1,10627;1,10619;1,10627;1,10625;1,10633;1,10625;1,10633;1;0;0.00006
EUR/USD;26.03.2016 06:00:00.000;26.03.2016 06:00:00.250;1,10627;1,10636;1,10627;1,10636;1,10633;1,10642;1,10633;1,10642;1;0;0.00006
EUR/USD;26.03.2016 05:00:00.000;26.03.2016 05:00:00.250;1,10636;1,10644;1,10636;1,10644;1,10642;1,10650;1,10642;1,10650;1;0;0.00006
EUR/USD;26.03.2016 04:00:00.000;26.03.2016 04:00:00.250;1,10644;1,10652;1,10644;1,10652;1,10650;1,10658;1,10650;1,10658;1;0;0.00006
EUR/USD;26.03.2016 03:00:00.000;26.03.2016 03:00:00.250;1,10652;1,10661;1,10652;1,10661;1,10658;1,10667;1,10658;1,10667;1;0;0.00006
EUR/USD;26.03.2016 02:00:00.000;26.03.2016 02:00:00.250;1,10661;1,10669;1,10661;1,10669;1,10667;1,10675;1,10667;1,10675;1;0;0.00006
EUR/USD;26.03.2016 01:00:00.000;26.03.2016 01:00:00.250;1,10669;1,10677;1,10669;1,10677;1,10675;1,10683;1,10675;1,10683;1;0;0.00006
EUR/USD;26.03.2016 00:00:00.000;26.03.2016 00:00:00.250;1,10677;1,10686;1,10677;1,10686;1,10683;1,10692;1,10683;1,10692;1;0;0.00006
EUR/USD;25.03.2016 23:00:00.000;25.03.2016 23:00:00.250;1,10686;1,10694;1,10686;1,10694;1,10692;1,10700;1,10692;1,10700;1;0;0.00006
EUR/USD;25.03.2016 22:00:00.000;25.03.2016 22:00:00.250;1,10694;1,10702;1,10694;1,10702;1,10700;1,10708;1,10700;1,10708;1;0;0.00006
EUR/USD;25.03.2016 21:00:00.000;25.03.2016 21:00:00.250;1,10702;1,10711;1,10702;1,10711;1,10708;1,10717;1,10708;1,10717;1;0;0.00006
EUR/USD;25.03.2016 20:00:00.000;25.03.2016 20:00:00.250;1,10711;1,10719;1,10711;1,10719;1,10717;1,10725;1,10717;1,10725;1;0;0.00006
EUR/USD;25.03.2016 19:00:00.000;25.03.2016 19:00:00.250;1,10719;1,10727;1,10719;1,10727;1,10725;1,10733;1,10725;1,10733;1;0;0.00006
EUR/USD;25.03.2016 18:00:00.000;25.03.2016 18:00:00.250;1,10727;1,10736;1,10727;1,10736;1,10733;1,10742;1,10733;1,10742;1;0;0.00006
EUR/USD;25.03.2016 17:00:00.000;25.03.2016 17:00:00.250;1,10736;1,10744;1,10736;1,10744;1,10742;1,10750;1,10742;1,10750;1;0;0.00006
EUR/USD;25.03.2016 16:00:00.000;25.03.2016 16:00:00.250;1,10744;1,10752;1,10744;1,10752;1,10750;1,10758;1,10750;1,10758;1;0;0.00006
EUR/USD;25.03.2016 15:00:00.000;25.03.2016 15:00:00.250;1,10752;1,10761;1,10752;1,10761;1,10758;1,10767;1,10758;1,10767;1;0;0.00006
EUR/USD;25.03.2016 14:00:00.000;25.03.2016 14:00:00.250;1,10761;1,10769;1,10761;1,10769;1,10767;1,10775;1,10767;1,10775;1;0;0.00006
EUR/USD;25.03.2016 13:00:00.000;25.03.2016 13:00:00.250;1,10769;1,10777;1,10769;1,10777;1,10775;1,10783;1,10775;1,10783;1;0;0.00006
EUR/USD;25.03.2016 12:00:00.000;25.03.2016 12:00:00.250;1,10777;1,10786;1,10777;1,10786;1,10783;1,10792;1,10783;1,10792;1;0;0.00006
